AccessionNumber,ID NUMBER,KALTURA ID,dc.contributor.author 1,dc.contributor.author 2,dc.contributor.author 3,dc.contributor.author 4,dc.contributor.author 5,dc.contributor.author 6,dc.contributor.author 7,dc.contributor.author 8,dc.contributor.other,dc.date.created,dc.description,dc.description.abstract,dc.description.tableOfContents,dc.format.extent,dc.language.iso,dc.subject.lcsh 1,dc.subject.lcsh 2,dc.subject.lcsh 3,dc.subject.lcsh 4,dc.subject.lcsh 5,dc.subject.lcsh 6,dc.subject.other,dc.title,dc.title.alternative,dc.type
3600395,CUL_Lectures_CU_2699_AM_1_1 | CUL_Lectures_CU_2699_AM_1_2,1_3dzdxr5t | 1_ir0fizr8,"Van Tienhoven, Ari",,,,,,,,,1988-03-14,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Education, Department of,Office of Instruction, College of Agriculture and Life Sciences,Cornell Education Society., Speaker(s): Professor Emeritus, Avian Physiology., Lecture, March 14, 1988.",Tienhoven presents the concept of teaching through personal insights and techniques. He argues that teaching is a two-way street which requires critical thinkingfrom both teacher and student.,,55 minutes,eng,"Education, Higher",Teacher-student relationships,Educational innovations,,,,,Structuring the environment: selecting resources and utilizing technology,Teaching in a changing world: dilemmas and challenges.,Sound
3600678,CUL_Lectures_CU_2731_AM_1_1 | CUL_Lectures_CU_2731_AM_1_2,1_3knrscui | 1_lvyl2kpl,"LaFeber, Walter","Katzenstein, Peter J.",,,,,,,,1988-04-05,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Cornell Democrats., Speaker(s): Mr. LaFeber is Professor of American History at Cornell. Mr. Katzenstein is Professor of Government at Cornell., Lecture, April 5, 1988.","LaFeber and Katzenstein both address the question of America on the decline, with LaFeber providing a historical account of how the decline has happened and Katzenstein suggesting some solutions to it.",,87 minutes,eng,,,,,,,Since 1981,Is America on the decline?,,Sound
3600547,CUL_Lectures_CU_2733_AM_1_1 | CUL_Lectures_CU_2733_AM_1_2,1_ghh9ethl | 1_i0dprwp9,"Chartier, Roger, 1945-",,,,,,,,,1988-04-06,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Western Societies Program., Speaker(s): First recipient of the Einaudi chair, Professor at L'ecole des etudes anciennes sociales., Lecture, April 6, 1988.","Einaudi Inaugural Lecture; Chartier, the first recipient of the Einaudi professorship in European and International Studies, discusses the life of Luigi Einaudi and his contributions to Italian intellectual history.",,68 minutes,eng,,,,,,,1900 - 1999,Luigi Einaudi: between politics and history,Einaudi lectures.,Sound
3600703,CUL_Lectures_CU_2742_AM_1_1 | CUL_Lectures_CU_2742_AM_1_2 | CUL_Lectures_CU_2742_AM_2_1,1_i9ndsr2p | 1_yhjmqu3t | 1_13g2lxq8,"Keene, David A.","Chapman, Irv","Ginsberg, Benjamin","Frankovic, Kathleen","Yepsen, David",,,,,1988-04-11,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Mortar Board Honor Society,Cornell Political Forum,Cornell Republicans,Cornell Democrats., Speaker(s): Keene is chairman of the American Conservative Union, Yepsen is a reporter for the Des Moines Register, Frankovic is director of surveys for the CBS News Election Unit and a 1968 Cornell graduate, Ginsberg is a government professor at Cornell, Chapman, who serves as moderator, is the executive director of the Cornell News Service and a former bureau chief for ABC News., Panel, April 11, 1988.","Discussants address the question ""is this democracy?"" in relation to the 1988 presidential election.",,140 minutes,eng,,,,,,,,Is this democracy: 1988 presidential campaign forum,,Sound
3600626,CUL_Lectures_CU_2745_AM_1_1 | CUL_Lectures_CU_2745_AM_1_2,1_8uqj821q | 1_h0dfto61,"Chien, Frederick F. (Frederick Foo), 1935-",,,,,,,,,1988-04-12,"Recorded in Ithaca, NY by Cornell University., Sponsored by: East Asia Program,Dean's Office of the Graduate School,Johnson Graduate School of Management Federation of Alumni from Taiwan., Speaker(s): Representative of the Coordination Council for North American Affairs, a non-diplomatic mission maintained by the Nationalist Chinese government in the United States., Lecture, April 12, 1988.","Discusses the relationship between the Republic of China and the United States on both an economic and political level, particularly after the U.S. non-recognition of Taiwan in 1979.",,75 minutes,eng,China--Foreign relations,China--Economic policy,China--Politics and government,,,,,The Republic of China on Taiwan and her relations with the United States,,Sound
3600639,CUL_Lectures_CU_2754_AM_1_1,1_zkcg9k3p,"LaCapra, Dominick, 1939-","Gates, Henry Louis, Jr.",,,,,,,,1988-04-15,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Society for the Humanities., Lecture, April 15, 1988.","Tape includes introductory remarks by La Capra; Gates presents an overview of the state of black education in the United States today and opens the conference ""Race and the Humanities"".",,25 minutes,eng,Racism in language,Racism--United States,African Americans--Education,United States--Race relations,,,,On the rhetoric of racism in literature,Race and the humanities.,Sound
3600646,CUL_Lectures_CU_2762_AM_1_1 | CUL_Lectures_CU_2762_AM_1_2,1_2be3rp1x | 1_fje39gvc,"Mehrez, Samia",,,,,,,,,1988-04-16,"Recorded in Ithaca, NY by Cornell University., Speaker(s): Assistant Professor of Near Eastern Studies, Cornell University., Lecture, April 16, 1988.",Mehrez discusses the recent development of bilingual writing among Francophone writers (specifically Arab) as being distinct from the currently-existing alternatives of writing in French while adhering to a metropole perspective or of immersing oneself in Arabic. She points out the political implications of such a choice.,,70 minutes,eng,Bilingualism and literature,Arabic literature--Foreign countries,Algerian literature (French),,,,,Contesting the dominant other: the case of the Francophone North African writer,Race and the humanities.,Sound
3600593,CUL_Lectures_CU_2768_AM_1_1 | CUL_Lectures_CU_2768_AM_1_2,1_5ll4569j | 1_1p45r8d4,"Maksoud, Clovis",,,,,,,,,1988-04-18,"Recorded in Ithaca, NY by Cornell University., Sponsored by: The Arab Club., Speaker(s): Ambassador Maksoud is the permanent observer of the League of Arab States to the United Nations, and chief representative of the Arab League to the United States., Lecture, April 18, 1988.","Maksoud advances the notion that due to the establishment of the state of Israel, the Palestinians have ceased to be human beings and have become human obstacles. What is needed, in his mind, is a Palestinian adaptation to the Israeli ""fear psyche"".",,80 minutes,eng,Jewish-Arab relations,Palestine,Israel--Foreign relations,Middle East--Politics and government--1945-,,,Since 1945,Future of peace in the middle east: an arab perspective,,Sound
3600598,CUL_Lectures_CU_2772_AM_1_1,1_wcctaca5,"Tate, James, 1943-2015",,,,,,,,,1988-04-19,"Recorded in Ithaca, NY by Cornell University., Speaker(s): Author of ""The Lost Pilot,"" ""Absences,"" and ""Constant Defender"", Professor of English, Amherst College., Reading, April 19, 1988.",,,40 minutes,eng,,,,,,,1900 - 1999,James Tate reads his poetry,Robert Chasen memorial readings.,Sound
3600601,CUL_Lectures_CU_2785_AM_1_1,1_4abys15z,"MacIntosh, Peggy",,,,,,,,,1988-04-27,"Recorded in Ithaca, NY by Cornell University., Speaker(s): Associate professor at Wellsley College., Lecture, April 27, 1988.","MacIntosh discusses pedagogy as a means of allowing students to adaopt an ""adjacent"" position in relation to subject matter. This approach is an alternative to the ""lateral"", ""take a position"" point of view.",,80 minutes,eng,Education--Study and teaching,Feminism,,,,,,Re-vision: a feminist perspective,Gender and pedagogy lectures.,Sound
3600679,CUL_Lectures_CU_2789_AM_1_1 | CUL_Lectures_CU_2789_AM_1_2,1_kr4fmrl1 | 1_4txhwklx,"Orlov, Yuri, 1924-",,,,,,,,,1988-04-27,"Recorded in Ithaca, NY by Cornell University., Sponsored by: November 11th Committee., Speaker(s): Orlov is a Soviet physicist who was imprisonned in the Soviet Union because of his human rights activism. He is now a researcher at Cornell in the Physics Department., Lecture, April 27, 1988.","Orlov discusses the current situation in the Soviet Union in view of ""glasnost"" and suggests that the withdrawal of Soviet troops from Afghanistan is unique in the history of the Soviet Union.",,35 minutes,eng,,,,,,,,The Gorbachev reforms: a relationship between human rights and mutual security,Gorbachev and Soviet reform: insights on the present and future.,Sound
3600603,CUL_Lectures_CU_2791_AM_1_1 | CUL_Lectures_CU_2791_AM_2_1,1_ojmzcu1j | 1_eqs4i8hl,"West, Cornel",,,,,,,,,1988-04-28,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Society for the Humanities., Speaker(s): West is from the Union Theological Seminary., Lecture, April 28, 1988.","West discusses the ""Black Church"" and its oppositional politics (ie., the use of prophetic, all-embracing vision) and its consequences in terms of both enabling and disabling causes of freedom. She is introduced by Hortense Spillers, visiting professor of English, Cornell University.",,110 minutes,eng,African Americans--Religion,African American theologians,Theologians--United States,Religion and politics,,,,The black church and oppositional politics,Toni Morrison lectures.,Sound
3600610,CUL_Lectures_CU_2796_AM_1_1 | CUL_Lectures_CU_2796_AM_1_2,1_imcnwksd | 1_ygb4v5at,"Piedra, José",,,,,,,,,1988-04-29,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Society for the Humanities,See CU 2793 for additional sponsors., Speaker(s): Expert on Afro-Hispanic Studies at Yale University, Fellow of the Society for the Humanities, Cornell., Lecture, April 29, 1988.",Piedra compares Latin American song with North American blues.,,60 minutes,eng,Popular music--United States,Music--Latin America,African Americans--Music,Blues (Music),,,,Blues on blues,Race and class in Latin American popular music.,Sound
3601667,CUL_Lectures_CU_2817_AM_1_1 | CUL_Lectures_CU_2817_AM_1_2,1_nll57pj6 | 1_s9qpyotv,"Sagan, Carl, 1934-1996",,,,,,,,,1988-06-10,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Alumni Affairs, Office of., Speaker(s): Sagan is the David Duncan Professor of Astronomy and Space Sciences, Director of the Laboratory for Planetary Studies, creator of ""Cosmos"" television series and author of ""Dragons of Eden"", ""Broca's Brain"", etc., Lecture, June 10, 1988.",Sagan discusses the socioeconomic implications of present-day expenditures on conventional and nuclear arms as well as the hypothetical recognition of states like South Africa on the future.,,,eng,Nuclear warfare--Social aspects,Nuclear weapons,Nuclear nonproliferation,,,,,Goals for the 21st-century,Spencer T. and Ann W. Olin lectures.,Sound
3601915,CUL_Lectures_CU_2849_AM_1_1,1_tmq91a3o,"Draitser, Emil, 1937-",,,,,,,,,1988-09-19,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Russian Literature, Department of., Speaker(s): Professor of Russian at Hunter College and New York School of Comedy., Lecture, September 19, 1988.",Draitser describes Soviet humor and compares it to that of the United States.,,60 minutes,eng,,,,,,,,From Russia with laughs: Soviet underground humor,,Sound
3601920,CUL_Lectures_CU_2855_AM_1_1 | CUL_Lectures_CU_2855_AM_1_2 | CUL_Lectures_CU_2855_AM_2_1,1_c8f9oit1 | 1_zm00oa9k | 1_ywchv00e,"Mohawk, John, 1945-2006",,,,,,,,,1988-09-26,"Recorded in Ithaca, NY by Cornell University., Sponsored by: American Indian Program., Speaker(s): Professor of American studies, SUNY-Buffalo., Lecture, September 26, 1988.",Mohawk shifts his presentation from a discussion of Indian agricultural practices to focus on the contributions which the Iroquois Indians made to the construction of the United States Constitution.,,,eng,Indians of North America--Iroquois Indians--Agriculture,Iroquois Indians,,,,,,Denonville and Sullivan campaigns: record of Iroquois agriculture,Cultural encounter: corn--Indian gift to the world.,Sound
3601925,CUL_Lectures_CU_2860_AM_1_1 | CUL_Lectures_CU_2860_AM_1_2,1_qngnf8ny | 1_eylchqse,"Snodgrass, W. D. (William De Witt), 1926-2009",,,,,,,,,1988-09-26,"Recorded in Ithaca, NY by Cornell University., Sponsored by: English, Department of., Speaker(s): 1960 Pulitzer Prize winner in poetry for his first book, ""Heart's Needle"", visiting professor of poetry, Cornell., Reading, September 26, 1988.",Snodgrass reads passages from autobiographical sketches composed while he was visiting and working in Mexico.,,,eng,,,,,,,1900 - 1999,W.D. Snodgrass reads his own poetry,,Sound
3601941,CUL_Lectures_CU_2881_AM_1_1,1_op6j4rkq,"Brant, Beth, 1941-2015",,,,,,,,,1988-10-03,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Cornell Women's Studies Program,Firebrand Books,Gays, Bisexuals and Lesbians of Color., Speaker(s): Author of ""Mohawk Trail"", editor of ""A Gathering of Spirit"", a Native American feminist anthology., Reading, October 3, 1988.","Brant reads from her book, ""Mohawk Trail"", an anthology of native American feminist writings.",,,eng,Indians of North America--Literature,Women authors,Literature--Indian authors,,,,,Beth Brant reads from her own work,,Sound
3601944,CUL_Lectures_CU_2884_AM_1_1 | CUL_Lectures_CU_2884_AM_1_2,1_5o3ojxwm | 1_1ycbi3o4,"Derrida, Jacques",,,,,,,,,1988-10-03,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Andrew D. White Professors-At-Large Program., Speaker(s): Professor of the History of Philosophy, Ecole des Hautes Etudes en Sciences Sociales, Paris, Andrew D. White Professor-at-Large., Lecture, October 3, 1988.",Derrida addresses the concepts and meanings of friendship with a philosophical interpretation.,,70 minutes,eng,Friendship,Philosophy,,,,,,The politics of friendship,Politiques de l'amitié.,Sound
3601956,CUL_Lectures_CU_2896_AM_1_1 | CUL_Lectures_CU_2896_AM_1_2,1_wdn40ufw | 1_9wcr3sm3,"Mernissi, Fatima",,,,,,,,,1988-10-07,"Recorded in Ithaca, NY by Cornell University., Sponsored by: University Lectures Committee,Center for International Studies,Society for the Humanities,Women's Studies Program,Faculty Committee on Arabic and Islamic Studies of the College of Arts and Sciences., Speaker(s): Universite Mohamed V. Institut, Universitaire de la Recherche Scientifique, Morocco., Lecture, October 7, 1988.",Mernissi attributes the suppression of women's rights in the Muslim world to the advent of Islam and describes the role of women in modern Muslim society.,,,eng,Muslim women--Social conditions,Women in Islam,Women (Islamic law),,,,,The veil as magic in non-Democratic Islam: the word and the deed or the symbolic management of incoherence,Feminist perspectives on women in the Arabo-Islamic culture.|Arabic and Islamic lectures.,Sound
3601962,CUL_Lectures_CU_2902_AM_1_1,1_tigs58rt,"Rishmawi, Mona",,,,,,,,,1988-10-08,"Recorded in Ithaca, NY by Cornell University., Sponsored by: University Lectures Committee,Center for International Studies,Society for the Humanities,Women's Studies Program,Faculty Committee on Arabic and Islamic Studies of the College of Arts and Sciences., Speaker(s): Practicing lawyer, Human rights activist in Al-Haqq, Ramallah, the West Bank., Lecture, October 8, 1988.",Rishmawi discusses the role of Palestinian women in the Intifadah.,,70 minutes,eng,Women in Islam,"Women, Palestinian Arab",Women--Political activity--Arab countries,,,,,Arab women and political struggles: the case of Palestinian women during the Intifadah,Feminist perspectives on women in the Arabo-Islamic culture.|Arabic and Islamic lectures.,Sound
3601967,CUL_Lectures_CU_2908_AM_1_1 | CUL_Lectures_CU_2908_AM_1_2,1_ph2tq16r | 1_jazeidpc,"Fuentes, Carlos",,,,,,,,,1988-10-12,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Romance Studies, Department of., Speaker(s): He is a Mexican novelist., Reading, October 12, 1988.",Fuentes discusses his motivations for writing and the functions and expectations of writers in Latin America. The author quotes examples from his own writings to illustrate topics.,,63 minutes,eng,"Fuentes, Carlos","Authors, Latin American","Authors, Mexican",Latin American literature--20th century,,,1900 - 1999,Carlos Fuentes reads from his work,Rose Goldsen memorial lectures.,Sound
3601971,CUL_Lectures_CU_2913_AM_1_1 | CUL_Lectures_CU_2913_AM_1_2,1_l4kf438u | 1_bdktngrb,"Seznec, Alain",,,,,,,,,1988-10-14,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Library Development, Office of., Panel, October 14, 1988.",A panel discussion concerning the necessity of building an annexation or separate building to provide space for the explosion of new library materials at Cornell.,,92 minutes,eng,Cornell University--Libraries,Academic libraries--New York (State)--Acquisitions,Academic libraries--Acquisitions,Acquisitions (Libraries),,,,"The Library in the next 25 years: books, computers, information, and research--the basic materials for building tomorrow",Trustee Council Weekend events.,Sound
3601981,CUL_Lectures_CU_2924_AM_1_1 | CUL_Lectures_CU_2924_AM_1_2,1_alo2mc59 | 1_y5nebuig,"Barrett, Michèle",,,,,,,,,1988-10-19,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Society for the Humanities., Speaker(s): She is senior fellow at the City University at London., Lecture, October 19, 1988.",Barrett describes a new feminist interest in the body which varies significantly from the work of Foucault and from recent discussions of cyborgs. She suggests that this new interest is tied to the broader feminist concern with the politics of reproductive choice.,,85 minutes,eng,Feminism,Feminist literature,Women authors,,,,,"Recent developments in feminist theory: ""women's oppression today"" reconsidered",,Sound
3601985,CUL_Lectures_CU_2928_AM_1_1 | CUL_Lectures_CU_2928_AM_1_2,1_e8kvlqba | 1_ephebcsf,"Fitzpatrick, Sheila",,,,,,,,,1988-10-20,"Recorded in Ithaca, NY by Cornell University., Sponsored by: University Lectures Committee,Committee on Soviet Studies,History, Department of., Speaker(s): Oliver H. Radkey Regents' Professor of History, University of Texas at Austin., Lecture, October 20, 1988.","Fitzpatrick reviews the Moscow and provincial trials, emphasizing the latter's role in the Great Purge of 1937 and the struggles of peasants to testify against officials on trial.",,,eng,"Moscow Trials, Moscow, Russia, 1936-1937",Law--Soviet Union,Trials (Political crimes and offenses)--Russian S.F.S.R,"Moscow Trials, Moscow, Russia, 1936-1937",Soviet Union--History--1925-1953,,1925 - 1953,Provincial Stalinism: scenes from the Great Purge 1937,University lectures.,Sound
3601991,CUL_Lectures_CU_2934_AM_1_1 | CUL_Lectures_CU_2934_AM_1_2,1_24ydmvah | 1_kc479rvd,"Greenburg, Reuben",,,,,,,,,1988-10-24,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Jewish Studies Program,Near Eastern Studies, Department of,Africana Studies and Research Center., Speaker(s): Reuben Greenburg is chief of the Charleston Police Department., Lecture, October 24, 1988.","Greenburg addresses anti-semitic and racist trends in the United States, tracing similarities and contrasts between the black and Jewish community and their impact on images of Jews and blacks.",,,eng,Antisemitism--United States,Racism--United States,United States--Social conditions--1980-,,,,Since 1980,Being Black and Jewish,,Sound
3601994,CUL_Lectures_CU_2937_AM_1_1 | CUL_Lectures_CU_2937_AM_1_2,1_ch7mou71 | 1_ump9datr,"LaFeber, Walter",,,,,,,,,1988-10-31,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Latin American Studies Program (LASP),Committee on United States-Latin American Relations (CUSLAR)., Speaker(s): Professor of history, Cornell, author of ""Inevitable Revolution""., Lecture, October 31, 1988.",LeFeber examines the history of U.S. intervention in Latin America and relates America's modern Latin American policies to its previous history of intervention.,,,eng,Imperialism,Dependency,United States--Foreign relations--Latin America,Latin America--Foreign relations--United States,,,,The United States in Latin America: a history of intervention,CUSLAR after dinner discussions.,Sound
3602002,CUL_Lectures_CU_2946_AM_1_1 | CUL_Lectures_CU_2946_AM_1_2,1_ohcb6n5j | 1_xd2zkvsp,"Evans, Robin, 1944-1993",,,,,,,,,1988-11-03,"Recorded in Ithaca, NY by Cornell University., Speaker(s): British scholar, currently a visiting professor at Harvard., Lecture, November 3, 1988.",Evans presents a study of the architecture of centralized Renaissance churches with emphasis on the manner in which meaning is conveyed.,,90 minutes,eng,,,,,,,,Centrality,Preston H. Thomas memorial lectures.,Sound
3602006,CUL_Lectures_CU_2950_AM_1_1 | CUL_Lectures_CU_2950_AM_1_2,1_qfgsqqb1 | 1_dj0ym8pb,"Evans, Robin, 1944-1993",,,,,,,,,1988-11-04,"Recorded in Ithaca, NY by Cornell University., Speaker(s): British scholar, currently a visiting professor at Harvard., Lecture, November 4, 1988.","Evans explains what he sees as the three phases of fragmentation in 20th century architecture: cubism and its application to architecture, function and the humanizing of architectural firm, and the decentering of the subject.",,90 minutes,eng,Architecture,Geometry,,,,,,Architecture and its three geometries,Preston H. Thomas memorial lectures.,Sound
3602012,CUL_Lectures_CU_2956_AM_1_1,1_opr1hsri,"Lustig, Arnošt",,,,,,,,,1988-11-05,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Council on the Creative and Performing Arts,Music, Department of,Russian Literature, Department of,Theatre Arts, Department of,New York Council for the Humanities., Speaker(s): Lustig is a novelist., Panel, November 5, 1988.","Lustig, who wrote the screenplay to the film ""Transport to Paradise"", depicting the plight of Jews during Nazi domination in Germany, gives an introduction to the film.",,,eng,,,,,,,,Screening of Transport to Paradise',"Festival of Czech culture The milieu of Czech literature, film, music: from the 60s to the 80s.",Sound
3602025,CUL_Lectures_CU_2970_AM_1_1 | CUL_Lectures_CU_2970_AM_1_2,1_ydhy4e06 | 1_paplvp59,"Otto, Christian F.",,,,,,,,,1988-11-12,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Council on the Creative and Performing Arts,Music, Department of,Russian Literature, Department of,Theatre Arts, Department of,New York Council for the Humanities., Speaker(s): Professor of Architecture., Lecture, November 12, 1988.",Otto explores architecture as space through a detailed study of churches and secular buildings.,,75 minutes,eng,Architecture--Czechoslovakia,Church architecture,,,,,,The unbearable lightness of building,"Festival of Czech culture The Baroque and the contemporary in Czech art, music, literature.",Sound
3602028,CUL_Lectures_CU_2973_AM_1_1 | CUL_Lectures_CU_2973_AM_1_2,1_nvisayn9 | 1_f5pdgmj4,"Schorr, Daniel, 1916-2010",,,,,,,,,1988-11-14,"Recorded in Ithaca, NY by Cornell University., Sponsored by: University Events (Public Affairs), Office of., Speaker(s): Senior news analyst for National Public Radio., Lecture, November 14, 1988.","Schorr criticizes the role of television in politics today, focusing on Ronald Reagan's successful manipulation of television to weave his fantasies into a reality for the American public.",,83 minutes,eng,,,,,,,,The presidency in the media age,J. Eric Nordlander lectures.,Sound
3602029,CUL_Lectures_CU_2974_AM_1_1 | CUL_Lectures_CU_2974_AM_1_2,1_e1rdvizz | 1_zz5p6zyx,"Schorr, Daniel, 1916-2010",,,,,,,,,1988-11-15,"Recorded in Ithaca, NY by Cornell University., Sponsored by: University Events (Public Affairs), Office of., Speaker(s): Senior news analyst for National Public Radio., Lecture, November 15, 1988.","Schorr outlines Reagan's three major attributes: speech reading, small talk, and ineptitude in dealing with spontaneous affairs. He addresses the president's popularity and his future legacy.",,67 minutes,eng,,,,,,,Since 1980,The Reagan presidency and domestic affairs,J. Eric Nordlander lectures.,Sound
3602031,CUL_Lectures_CU_2976_AM_1_1 | CUL_Lectures_CU_2976_AM_1_2,1_3z4uvis9 | 1_n6s81jau,"Meese, Edwin",,,,,,,,,1988-11-15,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Cornell University Program Board., Speaker(s): Former United States Attorney General., Lecture, November 15, 1988.",Meese gives an overview of Reagan's administration and addresses the challenges facing President-elect Bush in his upcoming administration.,,,eng,"Reagan, Ronald",United States. President (1981-1989 : Reagan),United States. President (1989-1993 : Bush),,,,,The Reagan legacy and beyond,,Sound
3602047,CUL_Lectures_CU_2993_AM_1_1 | CUL_Lectures_CU_2993_AM_1_2 | CUL_Lectures_CU_2993_AM_2_1 | CUL_Lectures_CU_2993_AM_2_2,1_bzx5um7z | 1_zjpq84v3 | 1_ogji28zr | 1_edaa0slv,"Otto, Christian F.","Rowe, Colin","Fuente, Guillaume Jullian de la","Hodgen, Lee F.","Shaw, John","Warke, Val K.","Seligmann, Werner",,,1988-11-19,"Recorded in Ithaca, NY by Cornell University., Sponsored by: EXEDRA (Cornell student chapter of the Society of Architectural Historians),Architecture, Department of,Architecture, Art and Planning, College of., Speaker(s): All speakers are professors of architecture at Cornell with the exception of Seligmann, who is the Dean of the School of Architecture, Syracuse University., Symposium, November 19, 1988.","Panel members discuss the relationship between architecture and architectural history, particularly the past and present influence of Le Corbusier's work and theory on Cornell's design curriculum.",,,eng,,,,,,,,Cornell on Corbu: the myth of the Corb Academy,,Sound
3602048,CUL_Lectures_CU_2994_AM_1_1,1_k80p6ida,"Naylor, Gloria",,,,,,,,,1988-11-21,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Society for the Humanities., Speaker(s): Author of ""The Women of Brewster Place"", ""Mama Day"" and ""Linden Hills""., Reading, November 21, 1988.",Naylor describes the development of her literary voice and suggests that the legion of voices which have preceded her have molded hers into what it is today.,,,eng,Women authors,African American women authors,,,,,,The evolution of a writer's voice: Gloria Naylor reads and reflects on her own work,,Sound
3602054,CUL_Lectures_CU_3000_AM_1_1,1_9nwzamle,"Snyder, Mitch, Fennelly, Carol",,,,,,,,,1988-11-30,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Hotel Administration, School of,Southside Community Shelter,Red Cross Emergency Shelter,Center for Religion, Ethics and Social Policy (CRESP)., Speaker(s): Community for Creative Non-Violence., Lecture, November 30, 1988.","Snyder discusses the plight of homeless people who cannot find affordable housing in America, suggesting ways in which this problem may be alleviated.",,85 minutes,eng,,,,,,,,Homeless in America,,Sound
3602057,CUL_Lectures_CU_3003_AM_1_1 | CUL_Lectures_CU_3003_AM_1_2,1_1sshjjsk | 1_wv716opi,"Taylor, Joseph H. (Joseph Hooton)",,,,,,,,,1988-12-01,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Astronomy, Department of., Speaker(s): James S. McDonnell Distinguished University Professor of Physics, Princeton University., Lecture, December 1, 1988.","Taylor discusses the mechanisms involved in measuring time with an atomic clock, and covers related aspects of pulsars and relativity.",,55 minutes,eng,Relativity (Physics),Pulsars,Atomic clocks,,,,,"Relativity, pulsars and atomic time",Thomas Gold lectures.,Sound
3602058,CUL_Lectures_CU_3004_AM_1_1 | CUL_Lectures_CU_3004_AM_1_2 | CUL_Lectures_CU_3004_AM_2_1,1_arzw7nmh | 1_brqgpkkd | 1_5q6tdddy,"Colby, William Egan, 1920-1996","Beitz, Charles R.",,,,,,,,1988-12-01,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Ethics and Public Life, Program on,Carnegie Council on Ethics and International Affairs., Speaker(s): Colby was the Director of the U.S. Central Intelligence Agency, 1973-76. Beitz is Professor of Political Science at Swarthmore College., Lecture, December 1, 1988.","Colby and Beitz discuss the politics of covert action, debating on such aspects as secrecy and efficacy.",,,eng,United States. Central Intelligence Agency,Democracy,Ethics,Intelligence service,,,,Covert action in a democracy: the ethical considerations,,Sound
3601722,CUL_Lectures_CU_3044_AM_1_1 | CUL_Lectures_CU_3044_AM_1_2,1_v4za7lyz | 1_zz3karf4,"Sedgwick, Eve Kosofsky",,,,,,,,,1989-02-20,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Society for the Humanities., Speaker(s): Professor of English, Duke University., Lecture, February 20, 1989.","Sedgwick describes the nature of homosexuality as portrayed in Melville's ""Billy Budd"". She examines the subject through analysis of characters and conflicts and discusses the effect of AIDS on current homosexual definition.",,92 minutes,eng,,,,,,,,Billy Budd: after the homosexual,,Sound
3601741,CUL_Lectures_CU_3063_AM_1_1 | CUL_Lectures_CU_3063_AM_1_2,1_ryrnvg06 | 1_ss1irgop,"Shammas, Anton",,,,,,,,,1989-03-02,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Arabic and Islamic Studies Committee., Speaker(s): Visiting Fellow, Institute for the Humanities, University of Michigan., Lecture, March 2, 1989.",Shammas discusses the intransience of the Palestinian Intifadeh uprisings and the extent to which its negative implications for Israel are transformed to more acceptable conclusions by and for Israelis.,,75 minutes,eng,,,,,,,,The Intifadeh: stones and afterthoughts,,Sound
3601766,CUL_Lectures_CU_3096_AM_1_1,1_fqth1q5o,"Washington, Margaret",,,,,,,,,1989-03-11,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Women's Studies Program,History, Department of,Hispanic-American Studies Program (HASP),Asian-American Studies Program,American Indian Program,Africana Studies and Research Center., Speaker(s): Professor of history, Cornell, Lecture, March 11, 1989.","Thandekile Mvusi of Mount Holyoke College was originally scheduled to make this presentation, but was unable to attend the conference. Washington steps in to provide her own rough interpretation of this subject, discussing the acculturation process in America today in which Blacks lose their identitities and conform to white society.",,,eng,African American women--United States,Acculturation--United States,Black race--Color,African Americans--Social conditions,,,,"Black women, color, and consciousness: Harriet Jacobs and Pauline Breedlove",Women of color in the United States.,Sound
